1550470061.802938863,0.560526371002,0.53947365284,_,_,_
1550470061.912353835,0.560526371002,0.53947365284,_,_,_
1550470062.110964215,0.560526371002,0.53947365284,_,_,_
1550470062.311651024,0.560526371002,0.53947365284,_,_,_
1550470062.513464030,0.687156677246,0.412843286991,_,_,_
1550470062.711378114,0.687156677246,0.412843286991,_,_,_
1550470062.732041816,_,_,22.0053676798,-19.1200598239,0.0196816760096
1550470062.913695750,0.687156677246,0.412843286991,_,_,_
1550470063.111638792,0.687156677246,0.412843286991,_,_,_
1550470063.315727337,0.687156677246,0.412843286991,_,_,_
1550470063.511332419,0.784587979317,0.315412014723,_,_,_
1550470063.710522609,0.784587979317,0.315412014723,_,_,_
1550470063.755638712,_,_,23.0095983131,-18.7699522754,-0.053885726158
1550470063.920228204,0.784587979317,0.315412014723,_,_,_
1550470064.111825358,0.784587979317,0.315412014723,_,_,_
1550470064.314133171,0.784587979317,0.315412014723,_,_,_
1550470064.511482991,0.811477899551,0.28852212429,_,_,_
1550470064.708399708,0.811477899551,0.28852212429,_,_,_
1550470064.750907168,_,_,23.8569184557,-18.5955036007,-0.177958819754
1550470064.911098727,0.811477899551,0.28852212429,_,_,_
1550470065.110318039,0.811477899551,0.28852212429,_,_,_
1550470065.311385574,0.811477899551,0.28852212429,_,_,_
1550470065.513269831,-0.899999976158,0.899999976158,_,_,_
1550470065.711530314,-0.899999976158,0.899999976158,_,_,_
1550470065.740807390,_,_,24.7023265892,-18.4231967341,-0.279977436301
1550470065.912343102,-0.899999976158,0.899999976158,_,_,_
1550470066.113758746,-0.899999976158,0.899999976158,_,_,_
1550470066.311445943,-0.899999976158,0.899999976158,_,_,_
1550470066.510561244,-0.664459884167,0.899999976158,_,_,_
1550470066.713655817,-0.664459884167,0.899999976158,_,_,_
1550470066.755669690,_,_,25.7141921622,-18.2533529098,-0.416054620124
1550470066.912080936,-0.664459884167,0.899999976158,_,_,_
1550470067.110461559,-0.664459884167,0.899999976158,_,_,_
1550470067.311358526,-0.664459884167,0.899999976158,_,_,_
1550470067.513297134,-0.78789383173,0.899999976158,_,_,_
1550470067.711732218,-0.78789383173,0.899999976158,_,_,_
1550470067.760359525,_,_,26.3897874924,-18.4433932355,-0.436653353615
1550470067.913504879,-0.78789383173,0.899999976158,_,_,_
1550470068.110705516,-0.78789383173,0.899999976158,_,_,_
1550470068.311870269,-0.78789383173,0.899999976158,_,_,_
1550470068.512568464,-0.789487063885,0.899999976158,_,_,_
1550470068.711527608,-0.789487063885,0.899999976158,_,_,_
1550470068.770733044,_,_,27.0639508253,-18.4554589649,-0.236030530984
1550470068.911517334,-0.789487063885,0.899999976158,_,_,_
1550470069.111701539,-0.789487063885,0.899999976158,_,_,_
1550470069.310254378,-0.789487063885,0.899999976158,_,_,_
1550470069.510519632,-0.636777281761,0.899999976158,_,_,_
1550470069.715924470,-0.636777281761,0.899999976158,_,_,_
1550470069.777957842,_,_,27.7407661319,-18.2829898703,0.231949759994
1550470069.912565804,-0.636777281761,0.899999976158,_,_,_
1550470070.111396816,-0.636777281761,0.899999976158,_,_,_
1550470070.312527126,-0.636777281761,0.899999976158,_,_,_
1550470070.507810017,-0.273076325655,0.899999976158,_,_,_
1550470070.715026935,-0.273076325655,0.899999976158,_,_,_
1550470070.754037645,_,_,28.2538024198,-17.9234690026,0.927658225782
1550470070.911161780,-0.273076325655,0.899999976158,_,_,_
1550470071.111402600,-0.273076325655,0.899999976158,_,_,_
1550470071.311528933,-0.273076325655,0.899999976158,_,_,_
1550470071.512793978,0.221453338861,0.878546655178,_,_,_
1550470071.714371906,0.221453338861,0.878546655178,_,_,_
1550470071.734302708,_,_,28.6010297386,-17.3768656814,1.5063303186
1550470071.910601941,0.221453338861,0.878546655178,_,_,_
1550470072.111155908,0.221453338861,0.878546655178,_,_,_
1550470072.308949691,0.221453338861,0.878546655178,_,_,_
1550470072.511596639,0.603696346283,0.496303647757,_,_,_
1550470072.710784266,0.603696346283,0.496303647757,_,_,_
1550470072.771184338,_,_,28.6186120076,-16.458378564,1.86370262174
1550470072.910922250,0.603696346283,0.496303647757,_,_,_
1550470073.109608707,0.603696346283,0.496303647757,_,_,_
1550470073.310441972,0.603696346283,0.496303647757,_,_,_
1550470073.511310320,0.79201823473,0.307981789112,_,_,_
1550470073.711419326,0.79201823473,0.307981789112,_,_,_
1550470073.778799096,_,_,28.1380702552,-15.1633166966,2.08533389397
1550470073.911889951,0.79201823473,0.307981789112,_,_,_
1550470074.110825661,0.79201823473,0.307981789112,_,_,_
1550470074.309684079,0.79201823473,0.307981789112,_,_,_
1550470074.515855495,0.899999976158,0.147449105978,_,_,_
1550470074.711546648,0.899999976158,0.147449105978,_,_,_
1550470074.758166162,_,_,27.6461141236,-14.2283898411,2.16402989325
1550470074.911583416,0.899999976158,0.147449105978,_,_,_
1550470075.109633196,0.899999976158,0.147449105978,_,_,_
1550470075.314069760,0.899999976158,0.147449105978,_,_,_
1550470075.509432584,0.899999976158,0.11184091866,_,_,_
1550470075.711271925,0.899999976158,0.11184091866,_,_,_
1550470075.747231832,_,_,27.1540188416,-13.2978555078,2.09248009938
1550470075.911446427,0.899999976158,0.11184091866,_,_,_
1550470076.118333469,0.899999976158,0.11184091866,_,_,_
1550470076.311008656,0.899999976158,0.11184091866,_,_,_
1550470076.508061905,0.899999976158,0.177596643567,_,_,_
1550470077.171095,0.899999976158,0.177596643567,_,_,_
1550470077.209886,0.899999976158,0.177596643567,_,_,_
1550470077.41511062,_,_,26.6619219326,-12.3673747254,1.94653748178
1550470077.107890465,0.899999976158,0.177596643567,_,_,_
1550470077.310500788,0.899999976158,0.177596643567,_,_,_
1550470077.510735741,0.82451659441,0.275483429432,_,_,_
1550470077.710224403,0.82451659441,0.275483429432,_,_,_
1550470077.753414764,_,_,26.3389752412,-11.2569674914,1.76678448462
1550470077.911480311,0.82451659441,0.275483429432,_,_,_
1550470078.111004781,0.82451659441,0.275483429432,_,_,_
1550470078.313853011,0.82451659441,0.275483429432,_,_,_
1550470078.511704358,0.709946870804,0.390053153038,_,_,_
1550470078.713053537,0.709946870804,0.390053153038,_,_,_
1550470078.740904291,_,_,26.1845724098,-10.1468026625,1.62324163999
1550470078.910869188,0.709946870804,0.390053153038,_,_,_
1550470079.111390507,0.709946870804,0.390053153038,_,_,_
1550470079.314492674,0.709946870804,0.390053153038,_,_,_
1550470079.509674729,0.634271860123,0.465728133917,_,_,_
1550470079.711670592,0.634271860123,0.465728133917,_,_,_
1550470079.770308614,_,_,26.0322253272,-9.03664078654,1.46664630893
1550470079.933506642,0.634271860123,0.465728133917,_,_,_
1550470080.115096792,0.634271860123,0.465728133917,_,_,_
1550470080.320057200,0.634271860123,0.465728133917,_,_,_
1550470080.511576540,0.536023974419,0.563976049423,_,_,_
1550470080.712592330,0.536023974419,0.563976049423,_,_,_
1550470080.797887908,_,_,26.2128646706,-7.9313528845,1.31515288474
1550470080.913405991,0.536023974419,0.563976049423,_,_,_
1550470081.120128538,0.536023974419,0.563976049423,_,_,_
1550470081.311867920,0.536023974419,0.563976049423,_,_,_
1550470081.512263111,0.429472088814,0.670527935028,_,_,_
1550470081.714226543,0.429472088814,0.670527935028,_,_,_
1550470081.788330903,_,_,26.3975654048,-6.82612442955,1.21270214706
1550470081.909186652,0.429472088814,0.670527935028,_,_,_
1550470082.133250007,0.429472088814,0.670527935028,_,_,_
1550470082.309356750,0.429472088814,0.670527935028,_,_,_
1550470082.512579744,0.36834692955,0.731653094292,_,_,_
1550470082.713976747,0.36834692955,0.731653094292,_,_,_
1550470082.774619134,_,_,26.7461268186,-5.90569771338,1.15884779917
1550470082.918775671,0.36834692955,0.731653094292,_,_,_
1550470083.114413427,0.36834692955,0.731653094292,_,_,_
1550470083.312650293,0.36834692955,0.731653094292,_,_,_
1550470083.516449973,0.324427217245,0.775572776794,_,_,_
1550470083.711621388,0.324427217245,0.775572776794,_,_,_
1550470083.758018192,_,_,27.0966867898,-4.98752500533,1.1825931656
1550470083.910968051,0.324427217245,0.775572776794,_,_,_
1550470084.111137529,0.324427217245,0.775572776794,_,_,_
1550470084.312745240,0.324427217245,0.775572776794,_,_,_
1550470084.513584811,0.329022914171,0.770977079868,_,_,_
1550470084.719716131,0.329022914171,0.770977079868,_,_,_
1550470084.761610936,_,_,27.4472710966,-4.06937978283,1.28846791219
1550470084.912022198,0.329022914171,0.770977079868,_,_,_
1550470085.110598774,0.329022914171,0.770977079868,_,_,_
1550470085.313359841,0.329022914171,0.770977079868,_,_,_
1550470085.510381637,0.412111401558,0.687888622284,_,_,_
1550470085.711878512,0.412111401558,0.687888622284,_,_,_
1550470085.754163254,_,_,27.8005251147,-2.96887083886,1.44374147143
1550470085.908867591,0.412111401558,0.687888622284,_,_,_
1550470086.110858290,0.412111401558,0.687888622284,_,_,_
1550470086.346337818,0.412111401558,0.687888622284,_,_,_
1550470086.513637595,0.497294098139,0.602705895901,_,_,_
1550470086.765002356,0.497294098139,0.602705895901,_,_,_
1550470086.819219698,_,_,27.8208504825,-1.86126370359,1.58997370861
1550470086.915364330,0.497294098139,0.602705895901,_,_,_
1550470087.110761379,0.497294098139,0.602705895901,_,_,_
1550470087.313549802,0.497294098139,0.602705895901,_,_,_
1550470087.512817299,0.611742258072,0.488257706165,_,_,_
1550470087.711538484,0.611742258072,0.488257706165,_,_,_
1550470087.777491579,_,_,28.0035957184,-0.756006945466,1.70492398285
1550470087.911692178,0.611742258072,0.488257706165,_,_,_
1550470088.111395950,0.611742258072,0.488257706165,_,_,_
1550470088.777230361,0.611742258072,0.488257706165,_,_,_
1550470088.777278121,0.660137236118,0.439862757921,_,_,_
1550470088.782885726,0.660137236118,0.439862757921,_,_,_
1550470088.919277718,0.660137236118,0.439862757921,_,_,_
1550470088.948510687,_,_,27.8526913811,0.1717310067,1.77282563954
1550470089.111448190,0.660137236118,0.439862757921,_,_,_
1550470089.313931972,0.660137236118,0.439862757921,_,_,_
1550470089.512948092,-0.463258236647,0.899999976158,_,_,_
1550470089.712858709,-0.463258236647,0.899999976158,_,_,_
1550470089.775894900,_,_,27.8641981169,1.09486681908,1.73771354553
1550470089.915367815,-0.463258236647,0.899999976158,_,_,_
1550470090.115105921,-0.463258236647,0.899999976158,_,_,_
1550470090.313805848,-0.463258236647,0.899999976158,_,_,_
1550470090.514513931,-0.284506261349,0.899999976158,_,_,_
1550470090.716123559,-0.284506261349,0.899999976158,_,_,_
1550470090.744612090,_,_,27.7085357741,1.83801940941,1.69144773963
1550470090.909083620,-0.284506261349,0.899999976158,_,_,_
1550470091.112357938,-0.284506261349,0.899999976158,_,_,_
1550470091.315538199,-0.284506261349,0.899999976158,_,_,_
1550470091.513362743,-0.327152132988,0.899999976158,_,_,_
1550470091.715843211,-0.327152132988,0.899999976158,_,_,_
1550470091.726306248,_,_,27.7173150302,2.5765397961,1.69453619788
1550470091.911900265,-0.327152132988,0.899999976158,_,_,_
1550470092.111216269,-0.327152132988,0.899999976158,_,_,_
1550470092.318014825,-0.327152132988,0.899999976158,_,_,_
1550470092.513165991,-0.34297695756,0.899999976158,_,_,_
1550470092.712831232,-0.34297695756,0.899999976158,_,_,_
1550470092.765316734,_,_,27.7254305069,3.13263963568,1.76832870385
1550470092.911552564,-0.34297695756,0.899999976158,_,_,_
1550470093.116910557,-0.34297695756,0.899999976158,_,_,_
1550470093.313507312,-0.34297695756,0.899999976158,_,_,_
1550470093.509500167,-0.277403950691,0.899999976158,_,_,_
1550470093.709967248,-0.277403950691,0.899999976158,_,_,_
1550470093.727710317,_,_,27.5723963105,4.05367956747,1.95126948172
1550470093.911634711,-0.277403950691,0.899999976158,_,_,_
1550470094.113740207,-0.277403950691,0.899999976158,_,_,_
1550470094.313158107,-0.277403950691,0.899999976158,_,_,_
1550470094.515703369,-0.138362661004,0.899999976158,_,_,_
1550470094.710106460,-0.138362661004,0.899999976158,_,_,_
1550470094.744315163,_,_,27.4200660778,5.16153470559,2.12210982191
1550470094.914815940,-0.138362661004,0.899999976158,_,_,_
1550470095.112418961,-0.138362661004,0.899999976158,_,_,_
1550470095.315057894,-0.138362661004,0.899999976158,_,_,_
1550470095.529559707,-0.0772284120321,0.899999976158,_,_,_
1550470095.710922235,-0.0772284120321,0.899999976158,_,_,_
1550470095.759273883,_,_,26.9347834939,6.27654236444,2.28238966608
1550470095.916014120,-0.0772284120321,0.899999976158,_,_,_
1550470096.110774486,-0.0772284120321,0.899999976158,_,_,_
1550470096.313552019,-0.0772284120321,0.899999976158,_,_,_
1550470096.511678515,0.00707835983485,0.899999976158,_,_,_
1550470096.711360417,0.00707835983485,0.899999976158,_,_,_
1550470096.753963595,_,_,26.4427705095,7.20927323349,2.41861934854
1550470096.911319281,0.00707835983485,0.899999976158,_,_,_
1550470097.109681335,0.00707835983485,0.899999976158,_,_,_
1550470097.313751145,0.00707835983485,0.899999976158,_,_,_
1550470097.517180655,0.0721793025732,0.899999976158,_,_,_
1550470097.711561959,0.0721793025732,0.899999976158,_,_,_
1550470097.753320429,_,_,25.6150450733,7.9622908307,2.55059481511
1550470097.910924468,0.0721793025732,0.899999976158,_,_,_
1550470098.117603418,0.0721793025732,0.899999976158,_,_,_
1550470098.314258219,0.0721793025732,0.899999976158,_,_,_
1550470098.511998817,0.168754056096,0.899999976158,_,_,_
1550470098.711157883,0.168754056096,0.899999976158,_,_,_
1550470098.752985535,_,_,24.6167446077,8.71555353388,2.68120425539
1550470098.914083052,0.168754056096,0.899999976158,_,_,_
1550470099.113974053,0.168754056096,0.899999976158,_,_,_
1550470099.314149823,0.168754056096,0.899999976158,_,_,_
1550470099.515273015,0.203651040792,0.896348953247,_,_,_
1550470099.711551014,0.203651040792,0.896348953247,_,_,_
1550470099.754431372,_,_,23.7828442045,9.46638229306,2.83412380121
1550470099.925059068,0.203651040792,0.896348953247,_,_,_
1550470100.114322847,0.203651040792,0.896348953247,_,_,_
1550470100.316586852,0.203651040792,0.896348953247,_,_,_
1550470100.512916656,0.319670885801,0.780329108238,_,_,_
1550470100.719845093,0.319670885801,0.780329108238,_,_,_
1550470100.762861426,_,_,22.7817990874,10.0372543905,2.97047218193
1550470100.913289829,0.319670885801,0.780329108238,_,_,_
1550470101.113687032,0.319670885801,0.780329108238,_,_,_
1550470101.312563202,0.319670885801,0.780329108238,_,_,_
1550470101.521300240,0.355633318424,0.744366645813,_,_,_
1550470101.712402191,0.355633318424,0.744366645813,_,_,_
1550470101.757992926,_,_,21.6122349549,10.6083686856,3.12676319943
1550470101.912869699,0.355633318424,0.744366645813,_,_,_
1550470102.112785179,0.355633318424,0.744366645813,_,_,_
1550470102.313174449,0.355633318424,0.744366645813,_,_,_
1550470102.511829469,0.458187043667,0.64181292057,_,_,_
1550470102.714200537,0.458187043667,0.64181292057,_,_,_
1550470102.740196305,_,_,20.6017567903,10.8123208708,-3.0355322098
1550470102.913359882,0.458187043667,0.64181292057,_,_,_
1550470103.112426292,0.458187043667,0.64181292057,_,_,_
1550470103.312322042,0.458187043667,0.64181292057,_,_,_
1550470103.510966945,0.522570431232,0.577429533005,_,_,_
1550470103.710289712,0.522570431232,0.577429533005,_,_,_
1550470103.753377500,_,_,19.5932190126,11.0117948782,-2.93784460426
1550470103.910912010,0.522570431232,0.577429533005,_,_,_
1550470104.112138779,0.522570431232,0.577429533005,_,_,_
1550470104.311958428,0.522570431232,0.577429533005,_,_,_
1550470104.512728217,0.558022320271,0.541977643967,_,_,_
1550470104.711745254,0.558022320271,0.541977643967,_,_,_
1550470104.772815601,_,_,18.5820353292,11.0288502805,-2.8757410531
1550470104.911937543,0.558022320271,0.541977643967,_,_,_
1550470105.111470555,0.558022320271,0.541977643967,_,_,_
1550470105.311998903,0.558022320271,0.541977643967,_,_,_
1550470105.514059789,0.600589394569,0.49941059947,_,_,_
1550470105.709895278,0.600589394569,0.49941059947,_,_,_
1550470105.745983202,_,_,17.5681497586,10.861316748,-2.85147523781
1550470105.915144500,0.600589394569,0.49941059947,_,_,_
1550470106.110953720,0.600589394569,0.49941059947,_,_,_
1550470106.312175619,0.600589394569,0.49941059947,_,_,_
1550470106.512812757,0.610084176064,0.489915817976,_,_,_
1550470106.711382388,0.610084176064,0.489915817976,_,_,_
1550470106.747708191,_,_,16.7207116457,10.6890947668,-2.86522689717
1550470106.911849093,0.610084176064,0.489915817976,_,_,_
1550470107.111641406,0.610084176064,0.489915817976,_,_,_
1550470107.310553821,0.610084176064,0.489915817976,_,_,_
1550470107.511851447,0.594314813614,0.505685210228,_,_,_
1550470107.711677165,0.594314813614,0.505685210228,_,_,_
1550470107.743622889,_,_,15.8726340265,10.3344515911,-2.89943212278
1550470107.929130392,0.594314813614,0.505685210228,_,_,_
1550470108.112843195,0.594314813614,0.505685210228,_,_,_
1550470108.313186231,0.594314813614,0.505685210228,_,_,_
1550470108.512542734,0.565926373005,0.534073650837,_,_,_
1550470108.713063887,0.565926373005,0.534073650837,_,_,_
1550470108.773250133,_,_,14.860737751,10.1623846656,-2.9458637562
1550470108.910962867,0.565926373005,0.534073650837,_,_,_
1550470109.112250873,0.565926373005,0.534073650837,_,_,_
1550470109.309426146,0.565926373005,0.534073650837,_,_,_
1550470109.510255453,0.531741797924,0.568258225918,_,_,_
1550470109.711633897,0.531741797924,0.568258225918,_,_,_
1550470109.750108438,_,_,14.0133238157,9.99010754961,-2.96993003431
1550470109.912123157,0.531741797924,0.568258225918,_,_,_
1550470110.113199522,0.531741797924,0.568258225918,_,_,_
1550470110.319002734,0.531741797924,0.568258225918,_,_,_
1550470110.511782541,0.519448637962,0.58055138588,_,_,_
1550470110.712172487,0.519448637962,0.58055138588,_,_,_
1550470110.744590918,_,_,13.1705856967,10.0001919832,-2.99967738593
1550470110.910641992,0.519448637962,0.58055138588,_,_,_
1550470111.111781125,0.519448637962,0.58055138588,_,_,_
1550470111.308751753,0.519448637962,0.58055138588,_,_,_
1550470111.511266889,0.482594072819,0.617405951023,_,_,_
1550470111.711750080,0.482594072819,0.617405951023,_,_,_
1550470111.754426517,_,_,12.3252349312,9.83013665504,-3.01012929154
1550470111.911846919,0.482594072819,0.617405951023,_,_,_
1550470112.111805461,0.482594072819,0.617405951023,_,_,_
1550470112.311357498,0.482594072819,0.617405951023,_,_,_
1550470112.513129459,0.482398450375,0.617601573467,_,_,_
1550470112.714918206,0.482398450375,0.617601573467,_,_,_
1550470112.750792945,_,_,11.4825219625,9.84024828792,-3.0053933096
1550470112.911727443,0.482398450375,0.617601573467,_,_,_
1550470113.109987555,0.482398450375,0.617601573467,_,_,_
1550470113.312131616,0.482398450375,0.617601573467,_,_,_
1550470113.512072958,0.473230421543,0.626769602299,_,_,_
1550470113.711732669,0.473230421543,0.626769602299,_,_,_
1550470113.757498104,_,_,10.4733607081,9.85499463043,-2.99978306497
1550470113.910906188,0.473230421543,0.626769602299,_,_,_
1550470114.111952754,0.473230421543,0.626769602299,_,_,_
1550470114.315157571,0.473230421543,0.626769602299,_,_,_
1550470114.512476087,0.465249657631,0.634750366211,_,_,_
1550470114.711586999,0.465249657631,0.634750366211,_,_,_
1550470114.738488024,_,_,9.62598003496,9.68499632473,-2.99911361022
1550470114.913712558,0.465249657631,0.634750366211,_,_,_
1550470115.112121082,0.465249657631,0.634750366211,_,_,_
1550470115.311934123,0.465249657631,0.634750366211,_,_,_
1550470115.513851109,0.452769130468,0.647230863571,_,_,_
1550470115.710348558,0.452769130468,0.647230863571,_,_,_
1550470115.753472035,_,_,8.61409210027,9.5151819453,-2.95474247046
1550470115.911783527,0.452769130468,0.647230863571,_,_,_
1550470116.108844210,0.452769130468,0.647230863571,_,_,_
1550470116.315284663,0.452769130468,0.647230863571,_,_,_
1550470116.512602385,0.494899243116,0.605100750923,_,_,_
1550470116.715710696,0.494899243116,0.605100750923,_,_,_
1550470116.756970564,_,_,7.76667811735,9.34293267328,-2.91383388914
1550470116.916349939,0.494899243116,0.605100750923,_,_,_
1550470117.112271511,0.494899243116,0.605100750923,_,_,_
1550470117.311299255,0.494899243116,0.605100750923,_,_,_
1550470117.512111484,0.507050335407,0.59294962883,_,_,_
1550470117.713797779,0.507050335407,0.59294962883,_,_,_
1550470117.757653302,_,_,6.92127018783,9.1706537527,-2.87387769504
1550470117.913564733,0.507050335407,0.59294962883,_,_,_
1550470118.113935975,0.507050335407,0.59294962883,_,_,_
1550470118.310398490,0.507050335407,0.59294962883,_,_,_
1550470118.511769283,0.537664115429,0.562335848808,_,_,_
1550470118.714679519,0.537664115429,0.562335848808,_,_,_
1550470118.743502507,_,_,5.90940623131,9.00081174811,-2.84419713855
1550470118.911407328,0.537664115429,0.562335848808,_,_,_
1550470119.112837511,0.537664115429,0.562335848808,_,_,_
1550470119.310096982,0.537664115429,0.562335848808,_,_,_
1550470119.511026830,0.525481939316,0.574518084526,_,_,_
1550470119.712696358,0.525481939316,0.574518084526,_,_,_
1550470119.774949378,_,_,5.05932269193,8.64619823009,-2.83420218496
1550470119.911411099,0.525481939316,0.574518084526,_,_,_
1550470120.111662387,0.525481939316,0.574518084526,_,_,_
1550470120.310861887,0.525481939316,0.574518084526,_,_,_
1550470120.511595041,0.550567746162,0.549432218075,_,_,_
1550470120.709946473,0.550567746162,0.549432218075,_,_,_
1550470120.744640398,_,_,4.04740163329,8.47413243361,-2.8400483177
1550470120.913319798,0.550567746162,0.549432218075,_,_,_
1550470121.112018870,0.550567746162,0.549432218075,_,_,_
1550470121.311978733,0.550567746162,0.549432218075,_,_,_
1550470121.515800804,-0.440250009298,0.899999976158,_,_,_
1550470121.711753700,-0.440250009298,0.899999976158,_,_,_
1550470121.758256466,_,_,3.19731730998,8.11949189931,-2.84343542852
1550470121.912827899,-0.440250009298,0.899999976158,_,_,_
1550470122.112072579,-0.440250009298,0.899999976158,_,_,_
